,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases
Cruz Machado,0.0,0.0,0.0,608.0,644.0,229.0,1165.0,718.0,0.0,1996.0,1821.0,2157.0,2959.0,2168.0,2881.0,3006.0,4327.0,3841.0,3311.0,3413.0,3655.0
Cruzeiro do Iguaçu,0.0,0.0,0.0,937.0,951.0,0.0,727.0,0.0,733.0,492.0,1235.0,1009.0,1791.0,523.0,532.0,1064.0,1064.0,1339.0,1614.0,1081.0,1104.0
Cruzeiro do Oeste,0.0,0.0,0.0,6148.0,6518.0,6714.0,5525.0,8466.0,4363.0,9049.0,9261.0,9471.0,11301.0,8214.0,9981.0,10174.0,8744.0,10825.0,11141.0,11761.0,12453.0
Cruzeiro do Sul,0.0,0.0,0.0,249.0,256.0,206.0,295.0,0.0,140.0,755.0,697.0,1076.0,1624.0,721.0,773.0,1298.0,1315.0,813.0,1386.0,1427.0,1740.0
Cruzmaltina,0.0,0.0,0.0,237.0,251.0,94.0,310.0,213.0,358.0,661.0,560.0,435.0,1083.0,807.0,344.0,887.0,1110.0,746.0,1156.0,783.0,1238.0
Curitiba,0.0,0.0,0.0,535697.0,538726.0,464044.0,465899.0,580956.0,594802.0,648558.0,906014.0,929306.0,957043.0,976739.0,989699.0,1001283.0,1014538.0,1024708.0,1038331.0,1059887.0,1083977.0
Curiúva,0.0,0.0,0.0,1996.0,2204.0,1959.0,2236.0,3071.0,1959.0,3489.0,3667.0,4537.0,5621.0,6087.0,6305.0,6463.0,6693.0,6933.0,6030.0,5198.0,6649.0
Cândido de Abreu,0.0,0.0,0.0,936.0,1053.0,1117.0,964.0,1043.0,1461.0,2079.0,2020.0,2670.0,3446.0,2070.0,3381.0,4133.0,4325.0,4648.0,3505.0,4347.0,4553.0
Céu Azul,0.0,0.0,0.0,2127.0,2790.0,2008.0,2094.0,2651.0,1690.0,3517.0,3843.0,3309.0,4952.0,3552.0,2147.0,3704.0,4712.0,4883.0,4389.0,5578.0,5785.0
Diamante D'Oeste,0.0,0.0,0.0,929.0,1187.0,1230.0,1047.0,560.0,1207.0,1537.0,1572.0,1588.0,2239.0,1288.0,1312.0,2355.0,2085.0,1801.0,1858.0,1938.0,2104.0
Diamante do Norte,0.0,0.0,0.0,408.0,431.0,408.0,276.0,138.0,286.0,717.0,598.0,777.0,984.0,845.0,543.0,561.0,965.0,386.0,1024.0,1033.0,1297.0
Diamante do Sul,0.0,0.0,0.0,239.0,521.0,134.0,409.0,0.0,0.0,393.0,727.0,251.0,1667.0,1698.0,573.0,1179.0,1194.0,1499.0,1505.0,1818.0,1515.0
Dois Vizinhos,0.0,0.0,0.0,22818.0,19245.0,19493.0,19707.0,24169.0,25065.0,25985.0,27055.0,27961.0,33629.0,29386.0,34745.0,35268.0,35887.0,36456.0,31887.0,32836.0,33727.0
Douradina,0.0,0.0,223.0,712.0,1008.0,536.0,1138.0,882.0,631.0,2086.0,1897.0,2062.0,2675.0,1407.0,2456.0,2521.0,3074.0,2598.0,2656.0,3361.0,3583.0
Doutor Camargo,0.0,0.0,0.0,1086.0,2231.0,2293.0,1915.0,1157.0,802.0,2064.0,2119.0,2147.0,3108.0,1798.0,0.0,2291.0,2788.0,3287.0,2361.0,2373.0,2873.0
Doutor Ulysses,0.0,0.0,0.0,450.0,788.0,325.0,169.0,190.0,192.0,615.0,828.0,624.0,1271.0,860.0,1296.0,1302.0,868.0,868.0,870.0,875.0,995.0
Engenheiro Beltrão,0.0,0.0,0.0,2923.0,2523.0,1580.0,2194.0,1694.0,2313.0,2995.0,3813.0,3984.0,5005.0,3858.0,3241.0,3333.0,5957.0,5180.0,5257.0,3674.0,4984.0
Entre Rios do Oeste,0.0,0.0,0.0,508.0,686.0,349.0,731.0,0.0,207.0,859.0,912.0,706.0,1755.0,1034.0,0.0,276.0,1113.0,279.0,579.0,913.0,991.0
Enéas Marques,0.0,0.0,0.0,1062.0,1771.0,356.0,1437.0,730.0,768.0,1994.0,2482.0,3066.0,3149.0,1368.0,1418.0,2424.0,2976.0,2541.0,2631.0,3251.0,2780.0
Esperança Nova,0.0,0.0,0.0,474.0,653.0,0.0,519.0,184.0,0.0,814.0,629.0,633.0,1506.0,218.0,445.0,461.0,945.0,243.0,979.0,998.0,1522.0
Espigão Alto do Iguaçu,0.0,0.0,0.0,441.0,596.0,460.0,473.0,323.0,492.0,834.0,894.0,744.0,1253.0,659.0,478.0,726.0,992.0,757.0,1033.0,1586.0,1354.0
Farol,0.0,0.0,0.0,260.0,250.0,149.0,231.0,79.0,0.0,345.0,277.0,297.0,605.0,307.0,212.0,424.0,638.0,535.0,541.0,688.0,628.0
Faxinal,0.0,0.0,0.0,2686.0,4321.0,2995.0,3879.0,3215.0,3489.0,4492.0,5674.0,5926.0,7337.0,5496.0,8099.0,8302.0,8579.0,7702.0,9727.0,7420.0,9684.0
Fazenda Rio Grande,0.0,0.0,0.0,33745.0,40359.0,35695.0,36580.0,43534.0,38828.0,40749.0,43446.0,46201.0,58678.0,52655.0,63951.0,66304.0,68556.0,70571.0,62550.0,65070.0,79156.0
Fernandes Pinheiro,0.0,0.0,0.0,820.0,1276.0,221.0,694.0,236.0,479.0,1203.0,1535.0,1045.0,1586.0,539.0,1376.0,1785.0,1555.0,1898.0,1621.0,1741.0,1915.0
Figueira,0.0,0.0,0.0,642.0,1077.0,1138.0,1751.0,685.0,454.0,2519.0,2213.0,2335.0,4311.0,3775.0,3164.0,3189.0,3206.0,3250.0,4649.0,3413.0,3575.0
Flor da Serra do Sul,0.0,0.0,0.0,657.0,1132.0,461.0,939.0,236.0,241.0,793.0,986.0,1107.0,2735.0,807.0,827.0,2093.0,2616.0,1778.0,2266.0,2280.0,2341.0
Floraí,0.0,0.0,0.0,384.0,1061.0,881.0,1146.0,474.0,726.0,1260.0,801.0,1416.0,2084.0,1216.0,609.0,624.0,1937.0,1349.0,1781.0,1800.0,1828.0
Floresta,0.0,0.0,0.0,1608.0,2549.0,2208.0,1801.0,1404.0,552.0,2886.0,3190.0,3477.0,5108.0,3838.0,3209.0,3292.0,5885.0,5124.0,4327.0,5249.0,4427.0
Florestópolis,0.0,0.0,0.0,1873.0,2444.0,1545.0,2630.0,1071.0,575.0,2961.0,2465.0,3159.0,4747.0,2886.0,5296.0,4694.0,4831.0,5768.0,4188.0,4305.0,4484.0
Flórida,0.0,0.0,0.0,292.0,814.0,532.0,561.0,196.0,0.0,852.0,668.0,454.0,910.0,462.0,949.0,478.0,977.0,749.0,1285.0,1325.0,1354.0
Formosa do Oeste,0.0,0.0,0.0,756.0,805.0,425.0,673.0,230.0,233.0,1502.0,1058.0,1357.0,1978.0,1444.0,1460.0,1528.0,1580.0,2015.0,1732.0,1809.0,2300.0
Foz do Iguaçu,0.0,0.0,0.0,109934.0,158843.0,141560.0,172417.0,152314.0,188683.0,170990.0,210512.0,186166.0,224787.0,197251.0,199943.0,236702.0,240340.0,243392.0,211910.0,253293.0,259726.0
Foz do Jordão,0.0,0.0,0.0,638.0,1612.0,333.0,707.0,0.0,369.0,1570.0,1627.0,1257.0,2181.0,1784.0,2309.0,2793.0,2826.0,1897.0,2400.0,2923.0,2457.0
Francisco Alves,0.0,0.0,0.0,585.0,1107.0,863.0,1482.0,916.0,1248.0,1903.0,1928.0,1953.0,2352.0,1375.0,1833.0,2255.0,1895.0,2289.0,2302.0,1544.0,1957.0
Francisco Beltrão,0.0,0.0,0.0,34684.0,35941.0,36634.0,31185.0,25779.0,33972.0,43496.0,46335.0,56702.0,61316.0,56300.0,68653.0,71432.0,73801.0,76165.0,67481.0,82505.0,74182.0
Fênix,0.0,0.0,0.0,712.0,773.0,202.0,613.0,208.0,435.0,1168.0,476.0,989.0,1525.0,774.0,525.0,1054.0,1337.0,1100.0,1376.0,1404.0,1429.0
General Carneiro,0.0,0.0,0.0,632.0,634.0,0.0,336.0,507.0,175.0,908.0,748.0,1122.0,1315.0,752.0,752.0,763.0,977.0,999.0,1139.0,1702.0,1331.0
Godoy Moreira,0.0,0.0,0.0,113.0,124.0,41.0,124.0,86.0,0.0,172.0,310.0,251.0,448.0,256.0,386.0,266.0,340.0,340.0,409.0,283.0,230.0
Goioerê,0.0,0.0,0.0,1368.0,3650.0,2223.0,3515.0,3555.0,3633.0,3733.0,4722.0,4525.0,5544.0,4829.0,6363.0,6804.0,6914.0,7202.0,6646.0,7070.0,7280.0
Goioxim,0.0,0.0,0.0,793.0,623.0,213.0,445.0,454.0,461.0,1222.0,1062.0,1421.0,2177.0,1591.0,645.0,2268.0,1944.0,1947.0,2337.0,2440.0,2173.0
Grandes Rios,0.0,0.0,0.0,501.0,769.0,406.0,1084.0,225.0,711.0,1236.0,1708.0,1813.0,2248.0,2001.0,1715.0,2091.0,1748.0,2102.0,2161.0,1890.0,1941.0
Guairaçá,0.0,0.0,0.0,510.0,558.0,408.0,645.0,222.0,516.0,541.0,1122.0,1180.0,2134.0,1247.0,1262.0,1285.0,1310.0,990.0,1665.0,1352.0,1381.0
